გამოსხივება	გამოსხივ ებ ა
გამოიტანეს	გამო იტან ეს
ფარა	ფარ ა
ასურეთის	ა სურეთ ის
არაუმეტეს	არა უმეტეს
განსაცდელი	გან საცდელ ი
ყბა	ყ ბ ა
კახეთსა	კა ხეთ სა
მთავარანგელოზთა	მთავარ ანგელოზ თა
აღმასრულებელმა	აღმასრულ ებელ მა
მონათლა	მო ნათლ ა
იგეგმება	ი გეგმ ება
ქორწინებაში	ქორწინებ აში
ბოთლებში	ბო თლ ებში
განედი	გან ედ ი
ტილზიტის	ტილ ზიტ ის
მოედნები	მოედ ნ ები
დაღესტანში	დაღესტ ან ში
წლებმა	წლ ებ მა
ადგილებშიც	ადგილ ებ შიც
ცოდვის	ცოდ ვ ის
ენაცვლება	ე ნაცვლებ ა
იაპონელების	იაპონ ელ ების
მოსდევდა	მო სდევ და
აორთქლების	აორთქლ ებ ის
არქიტრავული	არქიტ რავ ული
ინფორმაციული	ინ ფორმაცი ული
დამსახურებისათვის	და მსახურებ ისათვის
თიანეთის	თიან ეთ ის
რეისების	რე ის ების
ინსტიტუტმა	ინსტი ტუტ მა
მოითხოვდა	მო ითხოვ და
კბილებში	კბილ ებში
ლენტეხის	ლენ ტეხ ის
დოლარით	დოლ არ ით
დიალოგები	დია ლოგ ები
ირანელებს	ირა ნელ ებს
მარტი	მარტ ი
პატრიარქალური	პატრიარქ ალური
ხმალი	ხ მალ ი
ახალბედას	ახალ ბედ ას
მარკეტინგი	მარკეტ ინგ ი
შეადგენდეს	შე ადგენ დეს
უსქესო	უ სქეს ო
პრინციპების	პრინცი პ ების
სურვილისამებრ	სურ ვილ ისამებრ
ჰაბსბურგების	ჰაბ სბურგ ების
მომდევნო	მომ დევნ ო
