გამოსხივება	გამოსხივ ებ ა
საიმპერიო	სა იმპერი ო
გამოიტანეს	გამო იტან ეს
ფარა	ფარ ა
ასურეთის	ასურ ეთ ის
არაუმეტეს	არა უმეტეს
განსაცდელი	გან საცდელ ი
ყბა	ყ ბ ა
კახეთსა	კა ხეთ სა
მთავარანგელოზთა	მთავარ ანგელოზ თა
აღმასრულებელმა	აღმა სრულებელ მა
მონათლა	მო ნათლ ა
იგეგმება	ი გეგმ ება
ქორწინებაში	ქორწინ ებ აში
ბოთლებში	ბოთ ლ ებში
განედი	გან ედ ი
ტილზიტის	ტილ ზიტ ის
მოედნები	მოედ ნ ები
დაღესტანში	დაღესტ ან ში
წლებმა	წ ლებ მა
ადგილებშიც	ადგილ ებ შიც
ცოდვის	ცოდ ვ ის
ენაცვლება	ე ნაცვლ ება
იაპონელების	იაპონ ელ ების
მოსდევდა	მო სდევ და
აორთქლების	ა ორთქლ ების
არქიტრავული	არქი ტრავ ული
ინფორმაციული	ინ ფორმაცი ული
დამსახურებისათვის	და მსახურებ ისათვის
თიანეთის	თი ანეთ ის
რეისების	რე ის ების
ინსტიტუტმა	ინ სტიტუტ მა
მოითხოვდა	მოი თხოვ და
კბილებში	კბილ ებში
ლენტეხის	ლენ ტეხ ის
დოლარით	დო ლარ ით
დიალოგები	დია ლოგ ები
ირანელებს	ირ ანელ ებს
მარტი	მ არტ ი
პატრიარქალური	პატრიარქ ალური
ხმალი	ხ მალ ი
ახალბედას	ახალ ბედ ას
მარკეტინგი	მარკე ტინგ ი
შეადგენდეს	შე ადგენ დეს
უსქესო	უ სქეს ო
პრინციპების	პრინც იპ ების
სურვილისამებრ	სურ ვილ ისამებრ
ჰაბსბურგების	ჰაბს ბურგ ების
მომდევნო	მომ დევნ ო
