იტალიასთან	ი ტალი ასთან
გაათავისუფლა	გაა თავისუფლ ა
დაამარცხებდა	დაა მარცხ ებდა
რონი	რონ ი
ხანაც	ხან აც
ბეჭედზე	ბე ჭედ ზე
ბაბილონეთის	ბაბ ილონ ეთის
ამუშავებდნენ	ა მუშავებ დნენ
მთვარეზე	მთვ არე ზე
სერ	სერ
საგრანტო	საგრან ტ ო
კურფიურსტის	კურ ფიურსტ ის
გადატანილი	გადა ტანილ ი
ბურთი	ბურთ ი
მოახერხა	მოა ხერხ ა
ქონგურებიანი	ქონ გურ ებიანი
არენასი	არ ენ ასი
ჭავჭავაძის	ჭა ვჭავაძ ის
კარიერი	კარიერ ი
მაჟინოს	მა ჟინ ოს
ნახატები	ნა ხატ ები
ქერქის	ქერ ქ ის
ჟარი	ჟარ ი
თავსებადი	თავს ებადი
გდრ	გდრ
ოსურ	ოს ურ
რეაქციული	რე აქცი ული
ბანკნოტები	ბანკნო ტ ები
მოჭედილი	მო ჭედ ილი
გამოსვლამდე	გამო სვლ ამდე
ივლისისა	ივ ლის ისა
შეფუთვა	შეფუ თვ ა
შესწავლისათვის	შე სწავლ ისათვის
გორაზე	გო რ აზე
მცენარეებისგან	მცენარე ებისგან
მეფისა	მეფ ისა
ემსახურებოდა	ე მსახურ ებოდა
პერსონალური	პერსონ ალ ური
პრეზიდენტებს	პრეზიდენტ ებს
რაციონში	რაციონ ში
აპატიმრებენ	ა პატიმრ ებენ
აკვარელით	აკვ არელ ით
ნაწარმოებია	ნა წარმოებ ია
ლიახვის	ლია ხვ ის
იტყვის	ი ტყვ ის
კუნძულია	კუნძულ ია
კონცენტრირებულია	კონ ცენტრ ირებულია
