იტალიასთან	იტალ ი ასთან
გაათავისუფლა	გაა თავისუფლ ა
დაამარცხებდა	დაა მარცხ ებდა
რონი	რონ ი
ხანაც	ხან აც
ბეჭედზე	ბე ჭედ ზე
ბაბილონეთის	ბა ბილონ ეთის
ამუშავებდნენ	ა მუშავ ებდნენ
მთვარეზე	მთვ არე ზე
სერ	სერ
საგრანტო	სა გრანტ ო
კურფიურსტის	კურფიურსტ ის
გადატანილი	გადა ტან ილი
ბურთი	ბურთ ი
მოახერხა	მოა ხერხ ა
ქონგურებიანი	ქონგურებ იანი
არენასი	არ ენ ასი
ჭავჭავაძის	ჭავჭ ავაძ ის
კარიერი	კარ იერ ი
მაჟინოს	მა ჟინ ოს
ნახატები	ნა ხატ ები
ქერქის	ქერ ქ ის
ჟარი	ჟ არ ი
თავსებადი	თავს ებადი
გდრ	გდ რ
ოსურ	ოს ურ
რეაქციული	რე აქცი ული
ბანკნოტები	ბანკ ნოტ ები
მოჭედილი	მო ჭედ ილი
გამოსვლამდე	გამო სვლ ამდე
ივლისისა	ივ ლის ისა
შეფუთვა	შე ფუთვ ა
შესწავლისათვის	შე სწავლ ისათვის
გორაზე	გორ აზე
მცენარეებისგან	მცენარე ებისგან
მეფისა	მეფ ისა
ემსახურებოდა	ე მსახურ ებოდა
პერსონალური	პერსონ ალ ური
პრეზიდენტებს	პრეზიდ ენტ ებს
რაციონში	რა ციონ ში
აპატიმრებენ	ა პატიმრ ებენ
აკვარელით	აკ ვარელ ით
ნაწარმოებია	ნა წარმოებ ია
ლიახვის	ლიახვ ის
იტყვის	ი ტყვ ის
კუნძულია	კუნძულ ია
კონცენტრირებულია	კონცენტრ ირებული ა
