იტალიასთან	იტალი ა სთან
პერსონალური	პერსონ ალური
პრეზიდენტებს	პრეზიდენტ ებს
რაციონში	რაციონ ში
აპატიმრებენ	აპატიმრ ებენ
აკვარელით	აკვარ ელი თ
ნაწარმოებია	ნაწარმოებ ია
ლიახვის	ლიახვ ის
იტყვის	იტყვ ის
კუნძულია	კუნძულ ია
კონცენტრირებულია	კონცენტრ ირებული ა
ატლეტიკოსთან	ატლეტიკ ო სთან
თქმა	თქმ ა
ხატის	ხატ ის
ფოტოები	ფოტო ები
დისკოს	დისკ ოს
ტურინელებმა	ტურინ ელებმა
დეკანოზი	დეკანოზ ი
მარშლის	მარშ ლის
სპა	სპ ა
ურთიერთქმედებენ	ურთიერთქმედებ ენ
