იტალიასთან	ი ტალი ასთან
სოლისტია	ს ოლისტ ია
დოჟის	დო ჟ ის
გაათავისუფლა	გაა თავისუფლ ა
დაამარცხებდა	დაა მარცხ ებდა
რონი	რო ნ ი
ხანაც	ხან აც
ბეჭედზე	ბე ჭედ ზე
ბაბილონეთის	ბაბილ ონ ეთის
ამუშავებდნენ	ა მუშავ ებდნენ
მთვარეზე	მთვ არე ზე
სერ	სერ
საგრანტო	სა გრანტ ო
კურფიურსტის	კურფიურსტ ის
გადატანილი	გადა ტანილ ი
ბურთი	ბურთ ი
მოახერხა	მოა ხერხ ა
ქონგურებიანი	ქონგურ ებ იანი
არენასი	ა რენ ასი
ჭავჭავაძის	ჭავჭავა ძ ის
კარიერი	კარ იერ ი
მაჟინოს	მა ჟინ ოს
ნახატები	ნა ხატ ები
ქერქის	ქერ ქ ის
ჟარი	ჟარ ი
თავსებადი	თავს ებადი
გდრ	გდ რ
ოსურ	ოს ურ
რეაქციული	რე აქცი ული
ბანკნოტები	ბანკ ნოტ ები
მოჭედილი	მო ჭედ ილი
გამოსვლამდე	გამო სვლ ამდე
ივლისისა	ივ ლის ისა
შეფუთვა	შე ფუთვა
შესწავლისათვის	შე სწავლ ისათვის
გორაზე	გორ აზე
მცენარეებისგან	მცენარე ებისგან
მეფისა	მე ფის ა
ემსახურებოდა	ე მსახურ ებოდა
პერსონალური	პერსონ ალ ური
პრეზიდენტებს	პრეზიდენტ ებს
რაციონში	რაციონ ში
აპატიმრებენ	ა პატიმრ ებენ
აკვარელით	აკვარ ელ ით
ნაწარმოებია	ნაწარმო ებ ია
ლიახვის	ლია ხვ ის
იტყვის	ი ტყვ ის
კუნძულია	კუნძულ ია
კონცენტრირებულია	კონცენტრ ირებულ ია
